Initial Time,Final Time,Speed,Distance,Acceleration
17:10:51,17:10:53,1.2743433118794338,0.0007079685065996855,0.6371716559397169
17:10:53,17:10:55,5.853659503244695,0.003252033057358164,2.289658095682631
17:10:55,17:10:57,10.0311278801602,0.005572848822311223,2.0887341884577526
17:10:57,17:10:59,9.703678533369615,0.005390932518538675,-0.16372467339529262
17:10:59,17:11:01,10.576013562899675,0.00587556309049982,0.4361675147650299
17:11:01,17:11:03,10.647069721062982,0.005915038733923878,0.03552807908165345
17:11:03,17:11:05,11.031470317318982,0.0061285946207327675,0.1922002981280002
17:11:05,17:11:07,11.374614643038367,0.006319230357243537,0.17157216285969223
17:11:07,17:11:09,10.515779289497297,0.005842099605276276,-0.42941767677053466
17:11:09,17:11:11,10.158255729022857,0.005643475405012698,-0.17876178023722034
17:11:11,17:11:13,11.340935216701386,0.006300519564834103,0.5913397438392645
17:11:13,17:11:15,12.479461878270861,0.006933034376817145,0.5692633307847377
17:11:15,17:11:17,11.8359531672092,0.006575529537338444,-0.32175435553083087
17:11:17,17:11:19,11.034410707023563,0.006130228170568646,-0.40077123009281834
17:11:19,17:11:21,12.141140946302773,0.006745078303501541,0.5533651196396052
17:11:21,17:11:23,13.620992665962012,0.007567218147756673,0.7399258598296194
17:11:23,17:11:25,14.519661429331888,0.00806647857185105,0.4493343816849382
17:11:25,17:11:27,13.018337288674177,0.007232409604818987,-0.7506620703288558
17:11:27,17:11:29,11.999168893133412,0.006666204940629673,-0.5095841977703826
17:11:29,17:11:31,12.146538197217952,0.006748076776232195,0.07368465204227004
17:11:31,17:11:33,12.001894052249884,0.0066677189179166025,-0.07232207248403366
17:11:33,17:11:35,9.668848022158764,0.0053715822345326465,-1.16652301504556
17:11:35,17:11:37,7.706505748240971,0.004281392082356095,-0.9811711369588965
17:11:37,17:11:39,6.185697599043531,0.003436498666135295,-0.7604040745987204
17:11:39,17:11:41,5.52701547168902,0.0030705641509383443,-0.32934106367725535
17:11:41,17:11:43,7.025134684659745,0.0039028526025887476,0.7490596064853627
17:11:43,17:11:45,8.027840189333235,0.004459911216296242,0.5013527523367447
17:11:45,17:11:47,8.769670944209013,0.004872039413449452,0.37091537743788905
17:11:47,17:11:49,10.738353273044446,0.0059657518183580255,0.9843411644177165
17:11:49,17:11:51,10.946138825157458,0.006081188236198588,0.10389277605650626
17:11:51,17:11:53,10.709195937785742,0.005949553298769857,-0.11847144368585827
17:11:53,17:11:55,9.79925779522836,0.0054440321084602,-0.4549690712786907
17:11:55,17:11:57,10.765873934933676,0.005981041074963153,0.48330806985265795
17:11:57,17:11:59,11.00777209247994,0.006115428940266633,0.12094907877313155
17:11:59,17:12:01,11.462600351420214,0.0063681113063445635,0.22741412947013728
17:12:01,17:12:03,11.478208158868375,0.006376782310482431,0.007803903724080463
17:12:03,17:12:05,10.944940463226972,0.00608052247957054,-0.2666338478207013
17:12:05,17:12:07,9.630824768914321,0.0053504582049524,-0.6570578471563255
17:12:07,17:12:09,9.847440027806424,0.005470800015448014,0.10830762944605166
17:12:09,17:12:11,10.204548314913122,0.005669193508285068,0.17855414355334887
17:12:11,17:12:13,7.11181306986829,0.003951007261037939,-1.5463676225224159
17:12:13,17:12:15,7.319543371534138,0.0040664129841856324,0.1038651508329238
17:12:15,17:12:17,5.497805288994822,0.0030543362716637904,-0.9108690412696578
17:12:17,17:12:19,6.705328409071655,0.003725182449484253,0.6037615600384165
17:12:19,17:12:21,8.53147933730392,0.004739710742946623,0.9130754641161327
17:12:21,17:12:23,9.669744869475398,0.005372080483041887,0.5691327660857386
17:12:23,17:12:25,6.829557407573844,0.003794198559763247,-1.4200937309507768
17:12:25,17:12:27,5.29302043857116,0.002940566910317311,-0.7682684845013421
17:12:27,17:12:29,7.097295635200211,0.003942942019555673,0.9021375983145252
17:12:29,17:12:31,7.773192575754014,0.004318440319863341,0.3379484702769018
17:12:31,17:12:33,7.128873519940838,0.003960485288856021,-0.32215952790658786
17:12:33,17:12:35,6.229592360047305,0.003460884644470725,-0.44964057994676665
17:12:35,17:12:37,4.878868597888392,0.00271048255438244,-0.6753618810794566
17:12:37,17:12:39,7.63040153171356,0.004239111962063089,1.3757664669125842
17:12:39,17:12:41,8.453059480004562,0.00469614415555809,0.41132897414550085
17:12:41,17:12:43,7.128690212620889,0.003960383451456049,-0.6621846336918367
17:12:43,17:12:45,7.17244609755776,0.003984692276420978,0.021877942468435663
17:12:45,17:12:47,6.943331232361097,0.0038574062402006097,-0.1145574325983314
17:12:47,17:12:49,6.891470119750729,0.0038285945109726273,-0.025930556305183927
17:12:49,17:12:51,5.9908853865812075,0.003328269659211782,-0.4502923665847609
17:12:51,17:12:53,7.065535206125288,0.003925297336736271,0.5373249097720403
17:12:53,17:12:55,6.940886115193325,0.0038560478417740693,-0.06232454546598154
17:12:55,17:12:57,6.28003923033374,0.0034889106835187442,-0.3304234424297925
17:12:57,17:12:59,4.705477891264039,0.0026141543840355773,-0.7872806695348507
17:12:59,17:13:01,4.030148112244785,0.0022389711734693246,-0.33766488950962703
17:13:01,17:13:03,1.6828909103883904,0.0009349393946602169,-1.173628600928197
17:13:03,17:13:05,2.5832684390200065,0.0014351491327888924,0.450188764315808
17:13:05,17:13:07,4.505340297642565,0.002502966832023647,0.9610359293112793
17:13:07,17:13:09,4.262964050402787,0.0023683133613348816,-0.12118812361988907
17:13:09,17:13:11,3.971441116958515,0.002206356176088064,-0.14576146672213608
17:13:11,17:13:13,4.607926178199961,0.0025599589878888677,0.3182425306207233
