Timestamp,Latitude,Longitude,Altitude
17:11:04  10928,18.6355233,73.871912,619.0
17:11:04  10824,18.6355253,73.87191,619.0
17:11:04  10924,18.6355273,73.871908,619.0
17:11:04  10882,18.635529,73.8719056,619.0
17:11:04  10926,18.635531,73.8719036,619.0
17:11:04  10819,18.635533,73.8719016,619.0
17:11:04  11224,18.635535,73.8718996,619.0
17:11:04  11391,18.6355371,73.8718975,619.0
17:11:04  10904,18.635539,73.8718955,619.0
17:11:04  11186,18.635541,73.871893,619.0
17:11:05  11313,18.635543,73.871891,619.0
17:11:05  11536,18.635545,73.8718886,619.0
17:11:05  11384,18.635547,73.8718865,619.0
17:11:05  11067,18.6355486,73.8718841,619.0
17:11:05  11354,18.6355506,73.8718818,619.0
17:11:05  11521,18.6355523,73.8718791,619.0
17:11:05  11462,18.635554,73.8718766,619.0
17:11:05  11552,18.6355561,73.8718745,619.0
17:11:05  11330,18.635558,73.8718723,619.0
17:11:05  11319,18.63556,73.8718701,619.0
17:11:06  11284,18.635562,73.871868,619.0
17:11:06  11517,18.635564,73.8718656,619.0
17:11:06  11469,18.6355661,73.8718635,619.0
17:11:06  11130,18.635568,73.8718613,619.0
17:11:06  11454,18.63557,73.871859,619.0
17:11:06  11184,18.6355718,73.8718568,619.0
17:11:06  11186,18.6355738,73.8718546,619.0
17:11:06  11286,18.6355756,73.8718525,619.0
17:11:06  11200,18.6355776,73.8718503,619.0
17:11:06  10715,18.6355795,73.8718485,619.0
17:11:07  10984,18.6355811,73.8718461,619.0
17:11:07  11039,18.6355831,73.871844,619.0
17:11:07  10989,18.635585,73.871842,619.0
17:11:07  11069,18.635587,73.87184,619.0
17:11:07  10743,18.6355888,73.871838,619.0
17:11:07  10941,18.6355906,73.8718358,619.0
17:11:07  11110,18.6355923,73.8718335,619.0
17:11:07  10919,18.6355941,73.8718313,619.0
17:11:07  11013,18.6355958,73.8718291,619.0
17:11:07  10808,18.6355975,73.871827,618.0
17:11:08  10643,18.6355993,73.871825,618.0
17:11:08  10745,18.6356011,73.8718231,618.0
17:11:08  10939,18.6356028,73.8718208,618.0
17:11:08  10504,18.6356045,73.871819,618.0
17:11:08  10730,18.6356063,73.871817,618.0
17:11:08  10454,18.635608,73.871815,618.0
17:11:08  10839,18.6356096,73.8718128,618.0
17:11:08  10652,18.6356113,73.8718108,618.0
17:11:08  10465,18.635613,73.8718086,618.0
17:11:08  10291,18.6356145,73.8718066,618.0
17:11:09  10897,18.6356161,73.8718043,618.0
17:11:09  10624,18.6356176,73.8718021,618.0
17:11:09  10493,18.6356193,73.8718001,618.0
17:11:09  10554,18.6356211,73.8717981,618.0
17:11:09  10473,18.6356228,73.871796,618.0
17:11:09  10343,18.6356243,73.871794,618.0
17:11:09  10508,18.6356258,73.8717916,618.0
17:11:09  10276,18.6356275,73.8717898,618.0
17:11:09  10248,18.6356291,73.8717876,618.0
17:11:09  9963,18.6356305,73.8717855,618.0
17:11:10  9748,18.6356318,73.8717833,618.0
17:11:10  10343,18.6356335,73.8717811,618.0
17:11:10  10398,18.6356351,73.871779,618.0
17:11:10  10208,18.6356366,73.8717768,618.0
17:11:10  9956,18.6356381,73.8717746,618.0
17:11:10  10060,18.6356398,73.8717728,618.0
17:11:10  10319,18.6356411,73.8717703,618.0
17:11:10  10245,18.6356428,73.8717683,618.0
17:11:10  10134,18.6356443,73.8717661,618.0
17:11:10  10158,18.6356458,73.8717641,617.0
17:11:11  9858,18.6356471,73.871762,617.0
17:11:11  10423,18.6356488,73.8717598,617.0
17:11:11  10382,18.6356503,73.8717575,617.0
17:11:11  9848,18.6356516,73.8717553,617.0
17:11:11  10171,18.6356531,73.8717531,617.0
17:11:11  10324,18.6356546,73.871751,617.0
17:11:11  10345,18.6356563,73.8717488,617.0
17:11:11  10273,18.635658,73.8717466,617.0
17:11:11  10565,18.6356593,73.8717443,617.0
17:11:11  10958,18.6356611,73.8717418,617.0
17:11:12  10297,18.6356628,73.87174,617.0
17:11:12  10974,18.6356643,73.8717376,617.0
17:11:12  11250,18.635666,73.8717351,617.0
17:11:12  11500,18.6356675,73.8717325,617.0
17:11:12  11839,18.6356693,73.8717298,617.0
17:11:12  11973,18.635671,73.8717271,617.0
17:11:12  11908,18.6356728,73.8717245,617.0
17:11:12  12113,18.6356746,73.8717218,617.0
17:11:12  12376,18.6356765,73.8717193,617.0
17:11:12  12134,18.635678,73.8717165,617.0
17:11:13  12412,18.6356798,73.8717138,617.0
17:11:13  12569,18.6356816,73.871711,617.0
17:11:13  12334,18.6356833,73.8717085,617.0
17:11:13  12704,18.635685,73.8717056,617.0
17:11:13  13002,18.635687,73.871703,617.0
17:11:13  13258,18.6356886,73.8717,617.0
17:11:13  12754,18.6356903,73.8716973,617.0
17:11:13  12858,18.6356921,73.8716945,617.0
17:11:13  13058,18.6356938,73.8716915,617.0
17:11:13  12765,18.6356956,73.8716886,617.0
17:11:14  12817,18.6356973,73.8716858,617.0
17:11:14  13145,18.635699,73.871683,617.0
17:11:14  12578,18.6357006,73.8716805,617.0
17:11:14  13097,18.6357026,73.8716776,617.0
17:11:14  13162,18.6357041,73.871675,617.0
17:11:14  13162,18.6357061,73.8716723,617.0
17:11:14  13036,18.635708,73.8716696,617.0
17:11:14  13126,18.6357096,73.8716668,617.0
17:11:14  12934,18.6357115,73.8716641,617.0
17:11:14  12806,18.6357131,73.8716616,617.0
17:11:15  12788,18.6357146,73.871659,617.0
17:11:15  12689,18.6357163,73.8716563,617.0
17:11:15  12713,18.6357178,73.8716536,617.0
17:11:15  12736,18.6357193,73.8716506,617.0
17:11:15  12665,18.6357211,73.8716481,617.0
17:11:15  12173,18.6357228,73.8716456,617.0
17:11:15  12367,18.6357245,73.8716431,617.0
17:11:15  12591,18.6357258,73.8716405,617.0
17:11:15  12106,18.6357273,73.8716378,617.0
17:11:15  12276,18.6357291,73.8716353,617.0
17:11:16  12936,18.6357308,73.8716325,617.0
17:11:16  12363,18.6357325,73.87163,617.0
17:11:16  12271,18.6357341,73.8716273,617.0
17:11:16  12467,18.6357355,73.8716243,617.0
17:11:16  12113,18.6357368,73.8716216,617.0
17:11:16  12062,18.6357383,73.8716191,617.0
17:11:16  12575,18.63574,73.8716165,617.0
17:11:16  12273,18.6357418,73.8716141,617.0
